id,code,name
151,America/Manaus,"Amazon Time"
152,America/Marigot,"Atlantic Time"
153,America/Martinique,"Atlantic Time"
154,America/Matamoros,"Central Time"
155,America/Mazatlan,"Mountain Time"
156,America/Mendoza,"Argentine Time"
157,America/Menominee,"Central Time"
158,America/Merida,"Central Time"
159,America/Metlakatla,"Pacific Time"
160,America/Mexico_City,"Central Time"
161,America/Miquelon,"Pierre & Miquelon Time"
162,America/Moncton,"Atlantic Time"
163,America/Monterrey,"Central Time"
164,America/Montevideo,"Uruguay Time"
165,America/Montreal,"Eastern Time"
166,America/Montserrat,"Atlantic Time"
167,America/Nassau,"Eastern Time"
168,America/New_York,"Eastern Time"
169,America/Nipigon,"Eastern Time"
170,America/Nome,"Alaska Time"
171,America/Noronha,"Fernando de Noronha Time"
172,America/North_Dakota/Beulah,"Central Time"
173,America/North_Dakota/Center,"Central Time"
174,America/North_Dakota/New_Salem,"Central Time"
175,America/Ojinaga,"Mountain Time"
176,America/Panama,"Eastern Time"
177,America/Pangnirtung,"Eastern Time"
178,America/Paramaribo,"Suriname Time"
179,America/Phoenix,"Mountain Time"
180,America/Port-au-Prince,"Eastern Time"
181,America/Port_of_Spain,"Atlantic Time"
182,America/Porto_Acre,"Acre Time"
183,America/Porto_Velho,"Amazon Time"
184,America/Puerto_Rico,"Atlantic Time"
185,America/Rainy_River,"Central Time"
186,America/Rankin_Inlet,"Central Time"
187,America/Recife,"Brasilia Time"
188,America/Regina,"Central Time"
189,America/Resolute,"Central Time"
190,America/Rio_Branco,"Acre Time"
191,America/Rosario,"Argentine Time"
192,America/Santa_Isabel,"Pacific Time"
193,America/Santarem,"Brasilia Time"
194,America/Santiago,"Chile Time"
195,America/Santo_Domingo,"Atlantic Time"
196,America/Sao_Paulo,"Brasilia Time"
197,America/Scoresbysund,"Eastern Greenland Time"
198,America/Shiprock,"Mountain Time"
199,America/Sitka,"Alaska Time"
200,America/St_Barthelemy,"Atlantic Time"
201,America/St_Johns,"Newfoundland Time"
202,America/St_Kitts,"Atlantic Time"
203,America/St_Lucia,"Atlantic Time"
204,America/St_Thomas,"Atlantic Time"
205,America/St_Vincent,"Atlantic Time"
206,America/Swift_Current,"Central Time"
207,America/Tegucigalpa,"Central Time"
208,America/Thule,"Atlantic Time"
209,America/Thunder_Bay,"Eastern Time"
210,America/Tijuana,"Pacific Time"
211,America/Toronto,"Eastern Time"
212,America/Tortola,"Atlantic Time"
213,America/Vancouver,"Pacific Time"
214,America/Virgin,"Atlantic Time"
215,America/Whitehorse,"Pacific Time"
216,America/Winnipeg,"Central Time"
217,America/Yakutat,"Alaska Time"
218,America/Yellowknife,"Mountain Time"
219,Antarctica/Casey,"Australian Western Time"
220,Antarctica/Davis,"Davis Time"
221,Antarctica/DumontDUrville,"Dumont-d'Urville Time"
222,Antarctica/Macquarie,"Macquarie Island Time"
223,Antarctica/Mawson,"Mawson Time"
224,Antarctica/McMurdo,"New Zealand Time"
225,Antarctica/Palmer,"Chile Time"
226,Antarctica/Rothera,"Rothera Time"
227,Antarctica/South_Pole,"New Zealand Time"
228,Antarctica/Syowa,"Syowa Time"
229,Antarctica/Troll,"Troll Time"
230,Antarctica/Vostok,"Vostok Time"
231,Arctic/Longyearbyen,"Central European Time"
232,Asia/Aden,"Arabia Time"
233,Asia/Almaty,"Alma-Ata Time"
234,Asia/Amman,"Eastern European Time"
235,Asia/Anadyr,"Anadyr Time"
236,Asia/Aqtau,"Aqtau Time"
237,Asia/Aqtobe,"Aqtobe Time"
238,Asia/Ashgabat,"Turkmenistan Time"
239,Asia/Ashkhabad,"Turkmenistan Time"
240,Asia/Baghdad,"Arabia Time"
241,Asia/Bahrain,"Arabia Time"
242,Asia/Baku,"Azerbaijan Time"
243,Asia/Bangkok,"Indochina Time"
244,Asia/Beirut,"Eastern European Time"
245,Asia/Bishkek,"Kirgizstan Time"
246,Asia/Brunei,"Brunei Time"
247,Asia/Calcutta,"India Time"
248,Asia/Chita,"Irkutsk Time"
249,Asia/Choibalsan,"Choibalsan Time"
250,Asia/Chongqing,"China Time"
251,Asia/Chungking,"China Time"
252,Asia/Colombo,"India Time"
253,Asia/Dacca,"Bangladesh Time"
254,Asia/Damascus,"Eastern European Time"
255,Asia/Dhaka,"Bangladesh Time"
256,Asia/Dili,"Timor-Leste Time"
257,Asia/Dubai,"Gulf Time"
258,Asia/Dushanbe,"Tajikistan Time"
259,Asia/Gaza,"Eastern European Time"
260,Asia/Harbin,"China Time"
261,Asia/Hebron,"Eastern European Time"
262,Asia/Ho_Chi_Minh,"Indochina Time"
263,Asia/Hong_Kong,"Hong Kong Time"
264,Asia/Hovd,"Hovd Time"
265,Asia/Irkutsk,"Irkutsk Time"
266,Asia/Istanbul,"Eastern European Time"
267,Asia/Jakarta,"West Indonesia Time"
268,Asia/Jayapura,"East Indonesia Time"
269,Asia/Jerusalem,"Israel Time"
270,Asia/Kabul,"Afghanistan Time"
271,Asia/Kamchatka,"Petropavlovsk-Kamchatski Time"
272,Asia/Karachi,"Pakistan Time"
273,Asia/Kashgar,"Xinjiang Time"
274,Asia/Kathmandu,"Nepal Time"
275,Asia/Katmandu,"Nepal Time"
276,Asia/Khandyga,"Khandyga Time"
277,Asia/Kolkata,"India Time"
278,Asia/Krasnoyarsk,"Krasnoyarsk Time"
279,Asia/Kuala_Lumpur,"Malaysia Time"
280,Asia/Kuching,"Malaysia Time"
281,Asia/Kuwait,"Arabia Time"
282,Asia/Macao,"China Time"
283,Asia/Macau,"China Time"
284,Asia/Magadan,"Magadan Time"
285,Asia/Makassar,"Central Indonesia Time"
286,Asia/Manila,"Philippines Time"
287,Asia/Muscat,"Gulf Time"
288,Asia/Nicosia,"Eastern European Time"
289,Asia/Novokuznetsk,"Krasnoyarsk Time"
290,Asia/Novosibirsk,"Novosibirsk Time"
291,Asia/Omsk,"Omsk Time"
292,Asia/Oral,"Oral Time"
293,Asia/Phnom_Penh,"Indochina Time"
294,Asia/Pontianak,"West Indonesia Time"
295,Asia/Pyongyang,"Korea Time"
296,Asia/Qatar,"Arabia Time"
297,Asia/Qyzylorda,"Qyzylorda Time"
298,Asia/Rangoon,"Myanmar Time"
299,Asia/Riyadh,"Arabia Time"
300,Asia/Saigon,"Indochina Time"
301,Asia/Sakhalin,"Sakhalin Time"
302,Asia/Samarkand,"Uzbekistan Time"
303,Asia/Seoul,"Korea Time"
304,Asia/Shanghai,"China Time"
305,Asia/Singapore,"Singapore Time"
306,Asia/Srednekolymsk,"Srednekolymsk Time"
307,Asia/Taipei,"China Time"
308,Asia/Tashkent,"Uzbekistan Time"
309,Asia/Tbilisi,"Georgia Time"
310,Asia/Tehran,"Iran Time"
311,Asia/Tel_Aviv,"Israel Time"
312,Asia/Thimbu,"Bhutan Time"
313,Asia/Thimphu,"Bhutan Time"
314,Asia/Tokyo,"Japan Time"
315,Asia/Ujung_Pandang,"Central Indonesia Time"
316,Asia/Ulaanbaatar,"Ulaanbaatar Time"
317,Asia/Ulan_Bator,"Ulaanbaatar Time"
318,Asia/Urumqi,"Xinjiang Time"
319,Asia/Ust-Nera,"Ust-Nera Time"
320,Asia/Vientiane,"Indochina Time"
321,Asia/Vladivostok,"Vladivostok Time"
322,Asia/Yakutsk,"Yakutsk Time"
323,Asia/Yekaterinburg,"Yekaterinburg Time"
324,Asia/Yerevan,"Armenia Time"
325,Atlantic/Azores,"Azores Time"
326,Atlantic/Bermuda,"Atlantic Time"
327,Atlantic/Canary,"Western European Time"
328,Atlantic/Cape_Verde,"Cape Verde Time"
329,Atlantic/Faeroe,"Western European Time"
330,Atlantic/Faroe,"Western European Time"
331,Atlantic/Jan_Mayen,"Central European Time"
332,Atlantic/Madeira,"Western European Time"
333,Atlantic/Reykjavik,"Greenwich Mean Time"
334,Atlantic/South_Georgia,"South Georgia Time"
335,Atlantic/St_Helena,"Greenwich Mean Time"
336,Atlantic/Stanley,"Falkland Is. Time"
337,Australia/ACT,"Australian Eastern Time (New South Wales)"
338,Australia/Adelaide,"Australian Central Time (South Australia)"
339,Australia/Brisbane,"Australian Eastern Time (Queensland)"
340,Australia/Broken_Hill,"Australian Central Time (South Australia/New South Wales)"
341,Australia/Canberra,"Australian Eastern Time (New South Wales)"
342,Australia/Currie,"Australian Eastern Time (New South Wales)"
343,Australia/Darwin,"Australian Central Time (Northern Territory)"
344,Australia/Eucla,"Australian Central Western Time"
345,Australia/Hobart,"Australian Eastern Time (Tasmania)"
346,Australia/LHI,"Lord Howe Time"
347,Australia/Lindeman,"Australian Eastern Time (Queensland)"
348,Australia/Lord_Howe,"Lord Howe Time"
349,Australia/Melbourne,"Australian Eastern Time (Victoria)"
350,Australia/NSW,"Australian Eastern Time (New South Wales)"
351,Australia/North,"Australian Central Time (Northern Territory)"
352,Australia/Perth,"Australian Western Time"
353,Australia/Queensland,"Australian Eastern Time (Queensland)"
354,Australia/South,"Australian Central Time (South Australia)"
355,Australia/Sydney,"Australian Eastern Time (New South Wales)"
356,Australia/Tasmania,"Australian Eastern Time (Tasmania)"
357,Australia/Victoria,"Australian Eastern Time (Victoria)"
358,Australia/West,"Australian Western Time"
359,Australia/Yancowinna,"Australian Central Time (South Australia/New South Wales)"
360,Brazil/Acre,"Acre Time"
361,Brazil/DeNoronha,"Fernando de Noronha Time"
362,Brazil/East,"Brasilia Time"
363,Brazil/West,"Amazon Time"
364,CET,"Central European Time"
